test/functional/fixtures/es_archiver/date_nanos,1.3,1.2,1.5,serverless,0,300
test/functional/fixtures/es_archiver/date_nanos_custom,1.2,1.2,1.2,serverless,0,300
test/functional/fixtures/es_archiver/date_nanos_mixed,1.9,1.8,2.0,serverless,0,300
test/functional/fixtures/es_archiver/date_nested,1.0,0.9,1.2,serverless,0,300
test/functional/fixtures/es_archiver/deprecations_service,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/hamlet,1.4,1.2,1.5,serverless,0,300
test/functional/fixtures/es_archiver/huge_fields,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/index_pattern_without_timefield,2.9,2.8,3.2,serverless,0,300
test/functional/fixtures/es_archiver/kibana_sample_data_flights,19.3,18.6,21.0,serverless,0,300
test/functional/fixtures/es_archiver/kibana_sample_data_flights_index_pattern,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/kibana_sample_data_logs_tsdb,20.6,19.9,21.1,serverless,0,300
test/functional/fixtures/es_archiver/large_fields,2.2,2.0,2.5,serverless,0,300
test/functional/fixtures/es_archiver/logstash_functional,33.2,32.3,34.7,serverless,0,300
test/functional/fixtures/es_archiver/long_window_logstash,32.5,31.3,34.0,serverless,0,300
test/functional/fixtures/es_archiver/makelogs,3.0,2.8,3.4,serverless,0,300
test/functional/fixtures/es_archiver/many_fields,3.2,3.0,3.5,serverless,0,300
test/functional/fixtures/es_archiver/message_with_newline,1.4,1.2,1.5,serverless,0,300
test/functional/fixtures/es_archiver/stress_test,16.4,16.2,16.8,serverless,0,300
test/functional/fixtures/es_archiver/unmapped_fields,1.3,1.2,1.5,serverless,0,300
test/functional/fixtures/es_archiver/dashboard/current/data,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/getting_started/shakespeare,152.0,150.9,157.1,serverless,0,300
test/functional/fixtures/es_archiver/index_pattern_without_timefield,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/kibana_sample_data_flights,NaN,Infinity,-Infinity,serverless,0,300
test/functional/fixtures/es_archiver/logstash_functional,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/functional/es_archives/dashboard/async_search,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/functional/es_archives/fleet/agents,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/functional/es_archives/getting_started/shakespeare,151.1,150.5,151.8,serverless,0,300
x-pack/test/functional/es_archives/graph/secrepo,15.4,14.9,16.2,serverless,0,300
x-pack/test/functional/es_archives/lens/rollup/data,2.0,1.8,2.2,serverless,0,300
x-pack/test/functional/es_archives/logstash_functional,33.4,33.2,33.6,serverless,0,300
x-pack/test/functional/es_archives/ml/bm_classification,13.9,13.7,14.2,serverless,0,300
x-pack/test/functional/es_archives/ml/categorization_small,2.9,2.4,3.5,serverless,0,300
x-pack/test/functional/es_archives/ml/ecommerce,8.3,7.8,9.0,serverless,0,300
x-pack/test/functional/es_archives/ml/egs_regression,3.9,3.6,4.1,serverless,0,300
x-pack/test/functional/es_archives/ml/event_rate_nanos,142.4,141.9,143.4,serverless,0,300
x-pack/test/functional/es_archives/ml/farequote,117.1,116.4,118.0,serverless,0,300
x-pack/test/functional/es_archives/ml/farequote_small,6.6,6.3,7.2,serverless,0,300
x-pack/test/functional/es_archives/ml/ihp_outlier,3.1,2.8,3.5,serverless,0,300
x-pack/test/functional/es_archives/ml/module_sample_ecommerce,1.7,1.6,2.0,serverless,0,300
x-pack/test/functional/es_archives/ml/module_sample_logs,2.0,1.6,2.3,serverless,0,300
x-pack/test/functional/es_archives/reporting/unmapped_fields,1.3,1.2,1.5,serverless,0,300
x-pack/test/functional/es_archives/security/dlstest,1.7,1.4,2.1,serverless,0,300
x-pack/test/functional/es_archives/uptime/blank,1.2,1.0,1.4,serverless,0,300
x-pack/test/functional/es_archives/visualize/default,0.5,0.3,1.3,serverless,0,300
x-pack/test/saved_object_tagging/common/fixtures/es_archiver/logstash_functional,33.1,32.5,34.2,serverless,0,300
x-pack/test/monitoring_api_integration/archives/apm/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/apm/package,3.3,3.3,3.3,serverless,0,300
x-pack/test/monitoring_api_integration/archives/beats/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/beats/package,0.9,0.9,0.9,serverless,0,300
x-pack/test/monitoring_api_integration/archives/elasticsearch/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/elasticsearch/package,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/enterprisesearch/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/enterprisesearch/package,2.3,2.3,2.3,serverless,0,300
x-pack/test/monitoring_api_integration/archives/kibana/single_node/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/kibana/single_node/package,4.5,4.5,4.5,serverless,0,300
x-pack/test/monitoring_api_integration/archives/logstash/single_node/metricbeat,NaN,Infinity,-Infinity,serverless,0,300
x-pack/test/monitoring_api_integration/archives/logstash/single_node/package,2.5,2.5,2.5,serverless,0,300
